Correct label,Predicted label,Adversarial label,L2 metric,Num queries,Time (s)
0,0,116,0.050456047058106,5000,3226.4395263195
1,1,149,0.034033555537462,5000,224.318766355515
2,2,3,0.034433268010616,5000,231.706509590149
3,3,6,0.090134188532829,5000,226.850432395935
4,4,5,0.015762507915497,5000,231.388688087463
5,5,967,0.051009774208069,5000,163.189613103867
6,6,149,0.061786830425263,5000,148.002111673355
7,7,334,0.010025882162154,5000,156.296286821365
8,8,373,0.040813133120537,5000,149.550895690918
9,9,299,0.047056745737791,5000,154.411520957947
10,10,13,0.017297664657235,5000,153.063743591309
11,11,12,0.084783107042313,5000,154.614233493805
12,12,23,0.044099364429712,5000,150.297557115555
13,13,6,0.069570995867252,5000,153.44658613205
14,14,904,0.026081029325724,5000,159.363068342209
15,15,85,0.033037859946489,5000,162.990786552429
16,16,287,0.066108882427216,5000,160.092346191406
17,17,284,0.037387985736132,5000,154.032051324844
18,18,148,0.072154372930527,5000,156.646166086197
19,19,20,0.046147461980581,5000,155.267989873886
20,20,67,0.051510076969862,5000,158.174135684967
21,21,4,0.063089847564697,5000,154.936265468597
22,22,377,0.042758878320456,5000,162.457175731659
23,23,374,0.077237874269486,5000,159.301549434662
24,24,362,0.06673925369978,5000,162.226828098297
25,25,28,0.090096816420555,5000,160.475496053696
26,26,395,0.013884572312236,5000,161.230812549591
27,27,845,0.014299368485808,5000,159.042553901672
28,28,37,0.050780143588781,5000,163.207893610001
29,29,851,0.036240603774786,5000,159.951684951782
30,30,50,0.049582198262215,5000,178.02668094635
31,31,47,0.020158329978585,5000,224.411055088043
32,32,298,0.059639010578394,5000,230.825806379318
33,33,163,0.031451966613531,5000,222.066942930222
34,34,6,0.043171849101782,5000,198.934586048126
35,35,891,0.085579469799996,5000,198.137689352036
36,36,34,0.047478422522545,5000,210.276190280914
37,37,35,0.099172025918961,5000,204.340182065964
38,38,283,0.051826078444719,5000,196.985941171646
39,39,48,0.05834823474288,5000,191.097372055054
40,40,47,0.058030657470226,5000,209.187969207764
41,41,57,0.04625565931201,5000,200.229316234589
42,42,34,0.032562002539635,5000,218.175840854645
43,43,237,0.071170598268509,5000,2630.20891714096
44,44,71,0.060946177691221,5000,518.453745365143
45,45,67,0.045470535755158,5000,235.581766843796
46,46,39,0.030888587236405,5000,246.125934839249
47,47,783,0.067548558115959,5000,244.80165886879
48,48,297,0.04716457426548,5000,233.713693141937
49,49,343,0.024176685139537,5000,191.764793872833
50,50,223,0.073807068169117,5000,206.893941164017
